이름,가격,연식,주행거리,연료,배기량,연비,구동방식,최대토크,보험이력등록,제조사,마력,보증여부
더 뉴 그랜저 3.0,31000000,23,14500,LPG,2999,7.5,전륜 FF,28.6,등록,현대,235,1
그랜저HG 240,7500000,99,158000,가솔린,2359,11.3,전륜 FF,25.5,등록,현대,201,0
더 뉴 그랜저 2.5,33000000,27,22222,가솔린,2497,11.1,전륜 FF,25.3,등록,현대,198,0
더 뉴 그랜저,14600000,33,56000,LPG,2999,7.5,전륜 FF,28.6,미등록,현대,235,0
더 뉴 그랜저,40500000,19,2400,가솔린,2497,11.1,전륜 FF,25.3,미등록,현대,198,1
그랜저IG,21990000,59,75276,가솔린,2999,10.1,전륜 FF,31.4,등록,현대,266,1
그랜저HG,14800000,87,127500,가솔린,2359,11.3,전륜 FF,25.5,미등록,현대,190,0
그랜저IG,18990000,63,87500,LPG,2999,7.6,전륜 FF,28.6,미등록,현대,235,0
그랜저TG,3600000,187,64743,가솔린,2656,9.7,전륜 FF,25.6,미등록,현대,195,0
그랜저HG,6400000,141,164729,가솔린,3342,10.9,전륜 FF,35.3,미등록,현대,294,0
그랜저IG,25200000,52,62000,가솔린,2359,11,전륜 FF,24.6,미등록,현대,190,0
그랜저HG,12000000,113,110000,가솔린,2999,12,전륜 FF,31.5,미등록,현대,270,0
YF쏘나타,2500000,147,123288,가솔린,1998,12.8,전륜 FF,20.2,등록,현대,165,0
쏘나타 2.0,17490000,42,66805,가솔린,1999,12.9,전륜 FF,20,등록,현대,160,1
쏘나타 더 브릴리언트,5700000,115,142650,LPG,1999,9.3,전륜 FF,20,등록,현대,157,0
쏘나타 뉴 라이즈,20300000,55,28891,가솔린,1999,12,전륜 FF,20,미등록,현대,163,1
쏘나타 2.0,15500000,43,72055,가솔린,1999,12.3,전륜 FF,20,등록,현대,160,1
쏘나타 2.0,16990000,43,54980,가솔린,1999,12.3,전륜 FF,20,등록,현대,160,1
YF쏘나타,4400000,145,153000,LPG,1998,10.5,전륜 FF,20,등록,현대,157,0
