이름,가격,연식,주행거리,연료,배기량,연비,구동방식,최대토크,보험이력등록,제조사,마력,보증여부
제네시스 BH330,11900000,118,110000,가솔린,3342,9.6,후륜 ,35.5,등록,현대,300,0
제네시스 DH,15500000,98,187592,가솔린,3778,8.5,AWD,40.5,등록,현대,315,0
제네시스 BH330,4300000,175,171000,가솔린,3342,10,후륜 ,32.1,등록,현대,262,0
더 뉴 제네시스 쿠페,5990000,121,127000,가솔린,1998,10,후륜 ,38,등록,현대,275,0
제네시스 BH330,4900000,174,163000,가솔린,3342,10,후륜 ,32.1,등록,현대,262,0
제네시스 쿠페,4990000,138,164000,가솔린,3778,10,후륜 ,36.8,등록,현대,303,0
제네시스 쿠페,3990000,168,131000,가솔린,1998,11,후륜 ,30.5,등록,현대,210,0
제네시스 DH,14900000,92,140000,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스 DH,24500000,73,51880,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스 DH,20000000,93,68414,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스 DH,16700000,80,90262,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스 BH330,3500000,147,132543,가솔린,3342,10,후륜 ,32.1,등록,현대,262,0
제네시스 DH,12990000,97,134587,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스 쿠페,2900000,137,186000,가솔린,1998,11,후륜 ,30.5,등록,현대,210,0
제네시스 DH,11000000,104,182000,가솔린,3342,9.4,후륜 ,35.4,등록,현대,282,0
제네시스 BH330,5500000,166,96700,가솔린,3342,12,후륜 ,32.1,등록,현대,262,0
제네시스 BH330,3200000,162,149000,가솔린,3342,12,후륜 ,32.1,등록,현대,262,0
제네시스 쿠페,7600000,158,197946,가솔린,3778,12,전륜 FF,36.8,등록,현대,303,0
제네시스 쿠페,5200000,160,201949,가솔린,1998,11,후륜 ,30.5,등록,현대,210,0
제네시스 DH,17900000,93,111894,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스 DH,17500000,90,125000,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스 BH330,6900000,173,90248,디젤,3342,12,후륜 ,32.1,등록,현대,262,0
제네시스 BH330,6800000,177,201396,기타,3342,12,후륜 ,32.1,등록,현대,262,0
제네시스 DH,10900000,102,207758,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스 쿠페,6700000,156,170668,가솔린,1998,12,전륜 FF,30.5,미등록,현대,210,0
제네시스 DH,15500000,106,170000,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스 BH330,5990000,157,98649,가솔린,3342,12,후륜 ,32.1,등록,현대,262,0
더 뉴 제네시스 쿠페,16400000,105,73615,가솔린,1998,9.9,후륜 ,38,등록,현대,275,0
제네시스 DH,15300000,90,127652,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스 쿠페,7000000,138,128500,가솔린,1998,12,전륜 FF,30.5,등록,현대,210,0
제네시스 DH,17900000,73,119000,가솔린,3342,9.4,후륜 ,35.4,등록,현대,282,0
제네시스 DH,19900000,88,134035,가솔린,3342,9.2,후륜 ,35.4,미등록,현대,282,0
제네시스 DH,17900000,97,248170,가솔린,3342,8.8,AWD,35.4,미등록,현대,282,0
제네시스 DH,29900000,85,87343,가솔린,3342,9.2,후륜 ,35.4,미등록,현대,282,0
제네시스 쿠페,14000000,152,188000,가솔린,1998,12,전륜 FF,30.5,등록,현대,210,0
더 뉴 제네시스 쿠페,9500000,127,142000,가솔린,1998,10,후륜 ,38,미등록,현대,275,0
제네시스 쿠페,12000000,147,146764,가솔린,3778,12,전륜 FF,36.8,미등록,현대,303,0
제네시스 DH,26500000,98,145581,가솔린,3778,8.5,AWD,40.5,미등록,현대,315,0
더 뉴 제네시스 쿠페,23900000,125,69000,가솔린,3778,9,후륜 ,40.8,미등록,현대,350,0
제네시스 쿠페,6900000,163,140000,가솔린,1998,11,후륜 ,30.5,미등록,현대,210,0
더 뉴 제네시스 쿠페,12900000,129,115700,가솔린,1998,12,전륜 FF,38,미등록,현대,275,0
제네시스 DH,26900000,74,100000,가솔린,3778,8.5,AWD,40.5,미등록,현대,315,0
제네시스 DH,17900000,108,93000,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스 쿠페,7000000,161,118415,가솔린,3778,10,후륜 ,36.8,등록,현대,303,0
제네시스 쿠페,6700000,148,52613,가솔린,1998,11,후륜 ,30.5,등록,현대,210,0
제네시스 DH,16300000,73,182265,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스 DH,24500000,96,132500,가솔린,3778,8.5,AWD,40.5,등록,현대,315,0
제네시스 쿠페,6900000,142,154366,가솔린,1998,11,후륜 ,30.5,미등록,현대,210,0
제네시스 DH,18390000,98,113900,가솔린,3342,8.8,AWD,35.4,미등록,현대,282,0
제네시스 DH,12500000,88,252145,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스,5990000,172,254441,가솔린,3342,12,후륜 ,32.1,미등록,현대,262,0
제네시스 DH,17000000,102,120000,가솔린,3342,9.4,후륜 ,35.4,등록,현대,282,0
제네시스 DH,21700000,101,177500,가솔린,3342,8.8,AWD,35.4,등록,현대,282,0
제네시스 쿠페,7200000,162,99910,가솔린,1998,11,후륜 ,30.5,미등록,현대,210,0
제네시스 DH,18200000,97,184400,가솔린,3342,9.4,후륜 ,35.4,등록,현대,282,0
더 뉴 제네시스 쿠페,13000000,121,103410,가솔린,3778,9,후륜 ,40.8,등록,현대,350,0
제네시스,6990000,171,160277,가솔린,3778,9.6,후륜 ,36.5,미등록,현대,290,0
제네시스,5500000,157,130445,가솔린,3342,10,후륜 ,32.1,미등록,현대,262,0
제네시스,5500000,171,151906,디젤,3342,10,후륜 ,32.1,미등록,현대,262,0
제네시스 쿠페,7300000,126,62190,가솔린,1998,11,후륜 ,30.5,미등록,현대,210,0
더 뉴 제네시스 쿠페,19800000,113,108319,가솔린,3778,12,전륜 FF,40.8,미등록,현대,350,0
더 뉴 제네시스 쿠페,12500000,128,110900,가솔린,3778,9,후륜 ,40.8,미등록,현대,350,0
더 뉴 제네시스 쿠페,11500000,128,117000,가솔린,1998,10,후륜 ,38,미등록,현대,275,0
제네시스 쿠페,6300000,161,178258,가솔린,1998,11,후륜 ,30.5,미등록,현대,210,0
제네시스 쿠페,6300000,145,160241,가솔린,1998,11,후륜 ,30.5,등록,현대,210,0
제네시스 쿠페,25500000,146,64000,가솔린,3778,12,전륜 FF,36.8,등록,현대,303,0
제네시스 DH,14900000,72,165000,가솔린,3342,9.4,후륜 ,35.4,등록,현대,282,0
제네시스 쿠페,4800000,153,125000,가솔린,1998,11,후륜 ,30.5,미등록,현대,210,0
제네시스 DH,21500000,85,96000,가솔린,3342,8.8,AWD,35.4,미등록,현대,282,0
더 뉴 제네시스 쿠페,15300000,104,63000,가솔린,1998,9.9,후륜 ,38,미등록,현대,275,0
더 뉴 제네시스 쿠페,13200000,106,119000,가솔린,1998,9.9,후륜 ,38,미등록,현대,275,0
제네시스 쿠페,8200000,149,146000,가솔린,3778,10,후륜 ,36.8,미등록,현대,303,0
제네시스 쿠페,7500000,147,150000,가솔린,1998,11,후륜 ,30.5,미등록,현대,210,0
제네시스,5900000,136,170000,가솔린,3342,10.6,후륜 ,35.5,미등록,현대,300,0
더 뉴 제네시스 쿠페,12900000,129,90000,가솔린,1998,10,후륜 ,38,미등록,현대,275,0
제네시스 쿠페,7200000,158,152000,가솔린,1998,11,후륜 ,30.5,미등록,현대,210,0
제네시스 쿠페,7500000,163,149000,가솔린,1998,11,후륜 ,30.5,미등록,현대,210,0
제네시스 쿠페,6700000,162,163858,가솔린,1998,11,후륜 ,30.5,미등록,현대,210,0
더 프레스티지 K7,5290000,136,158919,가솔린,2999,8.9,전륜 FF,28.6,등록,기아,235,0
올 뉴 K7 3.3,16000000,81,93119,가솔린,3342,10,전륜 FF,35,등록,기아,290,0
K7 프리미어,25990000,29,36653,기타,2359,16.2,전륜 FF,26.7,등록,기아,199,1
더 프레스티지 K7,6200000,130,87547,가솔린,2359,12.8,전륜 FF,25.5,등록,기아,201,0
올 뉴 K7 2.4,14500000,68,86693,가솔린,2359,11,전륜 FF,24.6,등록,기아,190,0
올 뉴 K7 2.2,14300000,76,110847,디젤,2199,14.3,전륜 FF,45,등록,기아,202,0
올 뉴 K7 3.3,12300000,83,159261,가솔린,3342,10,전륜 FF,35,등록,기아,290,0
더 뉴 K7 2.4,7900000,98,77468,가솔린,2359,11.3,전륜 FF,25.5,등록,기아,201,0
K7 2.4,5200000,153,85763,가솔린,2359,11.8,전륜 FF,23.5,등록,기아,180,0
더 뉴 K7 2.4,8500000,109,122268,가솔린,2359,11.3,전륜 FF,25.5,등록,기아,201,0
K7 프리미어,28500000,25,134,가솔린,2497,11.6,전륜 FF,25.3,등록,기아,198,1
더 프레스티지 K7,6500000,121,160383,가솔린,2999,11.6,전륜 FF,31.6,등록,기아,270,0
올 뉴 K7 3.3,13900000,76,135395,가솔린,3342,10,전륜 FF,35,등록,기아,290,0
올 뉴 K7 하이브리드,18500000,84,113708,기타,2359,16.2,전륜 FF,26.7,등록,기아,199,0
올 뉴 K7 3.0,13500000,81,83562,LPG,2999,7.4,전륜 FF,28.6,등록,기아,235,0
K7,4200000,153,166934,LPG,2656,8.6,전륜 FF,25,등록,기아,165,0
올 뉴 K7 2.4,18000000,81,57963,가솔린,2359,11.1,전륜 FF,24.6,등록,기아,190,0
K7 2.7,5200000,148,140000,가솔린,2656,11,전륜 FF,26,등록,기아,200,0
더 뉴 K7 3.0,6700000,109,90000,가솔린,2999,10.4,전륜 FF,31.6,등록,기아,270,0
더 뉴 K7 2.4,6990000,116,134699,가솔린,2359,11.3,전륜 FF,25.5,등록,기아,201,0
K7 프리미어,24500000,47,37637,가솔린,2497,11.6,전륜 FF,25.3,등록,기아,198,1
K7 프리미어,24800000,27,48810,가솔린,2497,11.6,전륜 FF,25.3,등록,기아,198,1
K7 프리미어,400000,33,29000,가솔린,2497,11.6,전륜 FF,25.3,등록,기아,198,0
K7 2.7,6500000,147,125000,가솔린,2656,11,전륜 FF,26,등록,기아,200,0
올 뉴 K7 하이브리드,20500000,62,74000,기타,2359,12,전륜 FF,36,등록,기아,203,0
올 뉴 K7 3.0,9900000,62,178000,LPG,2999,7.4,전륜 FF,28.6,등록,기아,235,0
올 뉴 K7 3.0,13900000,77,117000,LPG,2999,7.4,전륜 FF,28.6,등록,기아,235,0
올 뉴 K7 2.4,16000000,62,98000,가솔린,2359,11,전륜 FF,24.6,등록,기아,190,0
올 뉴 K7 하이브리드,24500000,63,73449,기타,2359,16.2,전륜 FF,26.7,등록,기아,199,0
K7 프리미어,27400000,27,51921,가솔린,2497,11.6,전륜 FF,25.3,등록,기아,198,1
K7 프리미어,31990000,44,33329,기타,2359,16.2,전륜 FF,26.7,등록,기아,199,1
더 프레스티지 K7,4690000,121,204604,가솔린,2359,12.8,전륜 FF,25.5,등록,기아,201,0
K7 2.4,4500000,168,89000,가솔린,2656,11.8,전륜 FF,23.5,등록,기아,180,0
올 뉴 K7 3.0,14700000,54,40000,LPG,2999,7.1,전륜 FF,28.6,등록,기아,235,1
K7 VG270,3800000,152,131000,LPG,2656,8.6,전륜 FF,25,등록,기아,165,0
K7 2.7,3600000,133,114200,가솔린,2656,11,전륜 FF,26,등록,기아,200,0
올 뉴 K7 3.0,14500000,72,86000,LPG,2999,7.4,전륜 FF,28.6,등록,기아,235,0
더 뉴 K7 2.4,5500000,113,109332,가솔린,2359,11.3,전륜 FF,25.5,등록,기아,201,0
올 뉴 K7 3.3,12500000,84,73683,가솔린,3342,11,전륜 FF,35,등록,기아,290,0
더 뉴 K7 3.0,6900000,109,101370,가솔린,2999,10.4,전륜 FF,31.6,등록,기아,270,0
K7 2.7,3900000,152,134372,LPG,2656,11,전륜 FF,26,등록,기아,200,0
더 뉴 K7 2.4,6700000,111,199113,가솔린,2359,11.3,전륜 FF,25.5,등록,기아,201,0
올 뉴 K7 3.3,23900000,71,98000,가솔린,3342,9.7,전륜 FF,35,등록,기아,290,0
올 뉴 K7 3.3,20900000,49,74000,가솔린,3342,10,전륜 FF,35,등록,기아,290,1
올 뉴 K7 2.4,19900000,68,85000,가솔린,2359,11,전륜 FF,24.6,등록,기아,190,0
올 뉴 K7 2.4,15500000,51,65626,가솔린,2359,11.2,전륜 FF,24.6,등록,기아,190,1
K7 프리미어,20990000,46,75651,디젤,2199,14.5,전륜 FF,45,등록,기아,202,1
더 뉴 K7 3.0,9400000,106,86274,가솔린,2999,10.4,전륜 FF,31.6,등록,기아,270,0
더 뉴 K7 2.4,7600000,113,139487,가솔린,2359,11.3,전륜 FF,25.5,등록,기아,201,0
올 뉴 K7 2.4,18990000,65,41785,가솔린,2359,11,전륜 FF,24.6,등록,기아,190,0
올 뉴 K7 2.4,16300000,84,76144,가솔린,2359,11.1,전륜 FF,24.6,등록,기아,190,0
더 뉴 K7 3.0,7990000,109,108645,가솔린,2999,10.4,전륜 FF,31.6,등록,기아,270,0
K7 프리미어,26500000,44,52090,가솔린,2497,11.6,전륜 FF,25.3,등록,기아,198,0
더 뉴 K7,9500000,131,142476,가솔린,2999,10.4,전륜 FF,31.6,미등록,기아,270,0
더 프레스티지 K7,4900000,123,202297,가솔린,2359,12.8,전륜 FF,25.5,등록,기아,201,0
K7 프리미어,34900000,36,46402,기타,2359,16.2,전륜 FF,26.7,미등록,기아,199,1
K7 프리미어,20300000,46,65204,가솔린,2497,11.6,전륜 FF,25.3,등록,기아,198,1
K7 프리미어,30900000,31,6338,가솔린,2497,11.6,전륜 FF,25.3,미등록,기아,198,1
K7,4900000,133,146000,LPG,2656,8.6,전륜 FF,25,미등록,기아,165,0
올 뉴 K7,25900000,61,55000,가솔린,3342,9.7,전륜 FF,35,미등록,기아,290,0
더 뉴 K7,10900000,112,120583,가솔린,2999,10.4,전륜 FF,31.6,미등록,기아,270,0
올 뉴 K7,19300000,64,97000,디젤,2199,14.3,전륜 FF,45,미등록,기아,202,0
더 프레스티지 K7,8200000,123,87787,가솔린,2359,12.8,전륜 FF,25.5,등록,기아,201,0
더 프레스티지 K7,3300000,136,173000,가솔린,2359,12.8,전륜 FF,25.5,등록,기아,201,0
올 뉴 K7 하이브리드,26500000,58,90100,기타,2359,16.2,전륜 FF,26.7,등록,기아,199,0
올 뉴 K7 2.2,19000000,77,66000,디젤,2199,14.3,전륜 FF,45,등록,기아,202,0
K7 하이브리드,15500000,79,100300,기타,2359,16,전륜 FF,26.7,등록,기아,199,0
올 뉴 K7,15290000,64,137249,LPG,2999,12,전륜 FF,36,미등록,기아,203,0
더 뉴 K7,8700000,112,94954,LPG,2999,8.2,전륜 FF,28.6,미등록,기아,235,0
더 뉴 K7 2.4,20000000,95,23000,가솔린,2359,11.3,전륜 FF,25.5,등록,기아,201,0
K7,6400000,133,150760,가솔린,2656,11,전륜 FF,26,미등록,기아,200,0
올 뉴 K7,13990000,82,128825,디젤,2199,14.3,전륜 FF,45,미등록,기아,202,0
올 뉴 K7,13700000,77,172976,디젤,2199,14.3,전륜 FF,45,등록,기아,202,0
K5 2.0,27900000,20,24030,가솔린,1999,13,전륜 FF,20,등록,기아,160,1
K5 2.0,6200000,150,149326,LPG,1998,11.2,전륜 FF,19.3,등록,기아,144,0
K5 2.0,24500000,36,38384,가솔린,1999,13,전륜 FF,20,등록,기아,160,1
K5 2.0,5500000,152,94179,가솔린,1998,13,전륜 FF,20.2,등록,기아,165,0
더 뉴 K5,12990000,57,92681,LPG,1999,9.4,전륜 FF,19.8,미등록,기아,151,1
K5 2.0,4990000,156,77419,가솔린,1998,13,전륜 FF,20.2,등록,기아,165,0
K5 2.0,18500000,36,51340,가솔린,1999,13,전륜 FF,20,등록,기아,160,1
더 뉴 K5 1.7,12990000,57,44931,디젤,1685,16.1,전륜 FF,34.7,등록,기아,141,1
K5 1.6,23990000,26,34452,가솔린,1598,13.2,전륜 FF,27,등록,기아,180,0
더 뉴 K5 2.0,13890000,46,54694,LPG,1999,9.4,전륜 FF,19.8,등록,기아,151,1
K5 2.0,16500000,28,51844,LPG,1999,10.2,전륜 FF,19.5,등록,기아,146,0
더 뉴 K5 2.0,11700000,48,95647,LPG,1999,9.4,전륜 FF,19.8,등록,기아,151,1
더 뉴 K5 2.0,4900000,118,94546,가솔린,1999,11.9,전륜 FF,20.5,등록,기아,172,0
K5 2.0,5200000,135,144297,가솔린,1998,13,전륜 FF,20.2,등록,기아,165,0
K5 하이브리드,31990000,48,32502,기타,1999,20.1,전륜 FF,19.2,등록,기아,152,0
K5 2세대,9990000,92,92125,디젤,1685,16.5,전륜 FF,34.7,등록,기아,141,0
K5 2.0,3990000,131,123000,가솔린,1999,11.9,전륜 FF,20.5,등록,기아,172,0
K5,16900000,14,78802,LPG,1999,10.2,전륜 FF,19.5,등록,기아,146,0
더 뉴 K5 2.0,13600000,55,74239,LPG,1999,9.4,전륜 FF,19.8,등록,기아,151,1
K5 2.0,4500000,139,170454,LPG,1998,11.2,전륜 FF,19.3,등록,기아,144,0
K5 2.0,4600000,129,155330,LPG,1999,11.2,전륜 FF,19.3,등록,기아,144,0
더 뉴 K5 2.0,7700000,91,50000,LPG,1999,9.3,전륜 FF,19.8,등록,기아,155,0
더 뉴 K5 2.0,14990000,44,41935,가솔린,1999,12.3,전륜 FF,20,등록,기아,163,1
K5,6500000,124,131289,가솔린,1998,12.8,전륜 FF,37.1,미등록,기아,271,0
K5 하이브리드,28500000,28,29314,기타,1999,20.1,전륜 FF,19.2,등록,기아,152,0
K5 하이브리드,29990000,35,33510,기타,1999,20.1,전륜 FF,19.2,등록,기아,152,0
더 뉴 K5 2.0,11800000,59,82443,LPG,1999,9.4,전륜 FF,19.8,등록,기아,151,1
K5 하이브리드,22990000,25,117272,기타,1999,20.1,전륜 FF,19.2,등록,기아,152,0
더 뉴 K5 2.0,15990000,39,85303,가솔린,1999,12.1,전륜 FF,20,등록,기아,163,1
K5 2.0,23990000,25,37276,가솔린,1999,13,전륜 FF,20,등록,기아,160,1
K5 2.0,25500000,48,43299,가솔린,1999,12.7,전륜 FF,20,등록,기아,160,1
K5 2세대,7700000,93,117719,가솔린,1999,12.6,전륜 FF,20.5,등록,기아,168,0
K5,2000000,8,15,LPG,1999,10,전륜 FF,19.5,등록,기아,146,0
K5,890000,1,9800,가솔린,1999,13,전륜 FF,20,등록,기아,160,1
K5,2000000,9,9,LPG,1999,10,전륜 FF,19.5,등록,기아,146,0
K5,2000000,29,23637,가솔린,1999,13,전륜 FF,20,등록,기아,160,0
K5 2.0,16400000,25,101000,LPG,1999,10.2,전륜 FF,19.5,등록,기아,146,0
K5 2.0,22990000,30,39579,가솔린,1999,13,전륜 FF,20,등록,기아,160,1
K5 2.0,4000000,129,107966,LPG,1999,11.2,전륜 FF,19.3,등록,기아,144,0
K5 2.0,3400000,136,159052,LPG,1998,11.2,전륜 FF,19.3,등록,기아,144,0
K5 2.0,3200000,155,139643,가솔린,1998,13,전륜 FF,20.2,등록,기아,165,0
K5 2.0,3900000,135,66031,가솔린,1998,13,전륜 FF,20.2,등록,기아,165,0
K5 2세대,11800000,94,96000,가솔린,1998,10.8,전륜 FF,36,등록,기아,245,0
K5 2.0,2990000,139,163110,LPG,1998,11.2,전륜 FF,19.3,등록,기아,144,0
K5 2.0,6500000,142,165328,가솔린,1998,12.8,전륜 FF,37.1,등록,기아,271,0
더 뉴 K5 2.0,10990000,60,146174,LPG,1999,9.4,전륜 FF,19.8,등록,기아,151,1
더 뉴 K5 2.0,6990000,115,120000,가솔린,1999,11.9,전륜 FF,20.5,등록,기아,172,0
K5 2세대,7200000,91,146000,가솔린,1999,12.6,전륜 FF,20.5,등록,기아,168,0
K5 2.0,3600000,153,58000,가솔린,1998,13,전륜 FF,20.2,등록,기아,165,0
더 뉴 K5 2.0,5500000,117,76000,가솔린,1999,11.9,전륜 FF,20.5,등록,기아,172,0
더 뉴 K5 2.0,4900000,116,78600,LPG,1999,9.3,전륜 FF,19.8,등록,기아,155,0
K5 2.0,6900000,154,75325,가솔린,1998,13,전륜 FF,20.2,등록,기아,165,0
더 뉴 K5 하이브리드,19800000,60,55381,기타,1999,18,전륜 FF,27,등록,기아,191,1
K5 하이브리드,4900000,128,136696,기타,1999,16.8,전륜 FF,27,등록,기아,191,0
더 뉴 K5 2.0,4900000,97,107387,LPG,1999,9.3,전륜 FF,19.8,등록,기아,155,0
K5 2.0,3290000,153,78813,가솔린,1998,13,전륜 FF,20.2,등록,기아,165,0
K5 2세대,5900000,92,168000,LPG,1999,9.4,전륜 FF,19.8,등록,기아,151,0
K5 2.0,24900000,15,23000,가솔린,1999,13,전륜 FF,20,등록,기아,160,1
K5,25000000,26,75000,가솔린,1999,13,전륜 FF,20,등록,기아,160,0
더 뉴 K5 2.0,5600000,117,183224,가솔린,1999,11.9,전륜 FF,20.5,등록,기아,172,0
K5 하이브리드,26990000,35,47134,기타,1999,20.1,전륜 FF,19.2,등록,기아,152,0
K5 1.6,25900000,28,47404,가솔린,1598,13.2,전륜 FF,27,등록,기아,180,0
K5,7300000,111,156320,LPG,1999,11.2,전륜 FF,19.3,미등록,기아,144,0
K5 하이브리드,8800000,100,189077,기타,1999,16.8,전륜 FF,27,미등록,기아,191,0
K5 2.0,5600000,127,188685,LPG,1999,11.2,전륜 FF,19.3,등록,기아,144,0
K5 2.0,6300000,142,87654,가솔린,1998,12.8,전륜 FF,37.1,등록,기아,271,0
더 뉴 K5 2.0,8300000,117,147790,가솔린,1999,11.9,전륜 FF,20.5,등록,기아,172,0
K5 2세대,10600000,77,81214,디젤,1685,16.8,전륜 FF,34.7,등록,기아,141,0
K5 하이브리드,33200000,19,17749,기타,1999,20.1,전륜 FF,19.2,등록,기아,152,0
K5 1.6,32000000,15,28300,가솔린,1598,13.2,전륜 FF,27,등록,기아,180,0
K5 2.4,5800000,150,180687,가솔린,2359,13,전륜 FF,25.5,등록,기아,201,0
K5 2.0,3400000,121,165000,LPG,1999,11.2,전륜 FF,19.3,등록,기아,144,0
K5 2.0,4500000,136,94000,LPG,1998,11.2,전륜 FF,19.3,등록,기아,144,0
K5 하이브리드,17600000,76,63200,기타,1999,17.5,전륜 FF,27,등록,기아,191,0
K5,26800000,16,22900,가솔린,1598,13.2,전륜 FF,27,등록,기아,180,0
K5 2.0,13900000,47,103000,가솔린,1999,13,전륜 FF,20,등록,기아,160,1
K5,33000000,17,19123,가솔린,1598,13.2,전륜 FF,27,등록,기아,180,0
K5,5800000,141,137689,가솔린,1998,12.8,전륜 FF,37.1,미등록,기아,271,0
K5 2세대,9400000,76,103000,LPG,1999,12,전륜 FF,19.8,미등록,기아,151,0
K5 하이브리드,7500000,102,130429,가솔린,2359,12,전륜 FF,36,미등록,기아,159,0
K5 2세대,7600000,95,103957,LPG,1999,12,전륜 FF,19.8,미등록,기아,151,0
K5 3세대,21500000,16,1150,LPG,1999,10.2,전륜 FF,19.5,등록,기아,146,0
카니발 4세대,31900000,35,10988,가솔린,3470,9.1,전륜 FF,36.2,등록,기아,294,1
카니발 4세대,32300000,33,53693,디젤,2151,13.1,전륜 FF,45,등록,기아,202,1
더 뉴 카니발 2.2,17490000,56,105982,디젤,2199,11.3,전륜 FF,45,등록,기아,202,1
올 뉴 카니발 2.2,11900000,104,171089,디젤,2199,11.5,전륜 FF,45,등록,기아,202,0
그랜드 카니발,4990000,133,161640,디젤,2199,12,전륜 FF,44.47,등록,기아,197,0
더 뉴 카니발,31990000,56,69100,가솔린,3342,8.2,전륜 FF,34.7,등록,기아,280,1
올 뉴 카니발 2.2,21200000,94,133434,디젤,2199,10.3,전륜 FF,45,등록,기아,202,0
올 뉴 카니발,14300000,92,206115,디젤,2199,11.5,전륜 FF,45,미등록,기아,202,0
카니발 4세대,45000000,35,18360,가솔린,3470,9.1,전륜 FF,36.2,미등록,기아,294,1
더 뉴 카니발 2.2,19500000,43,57325,디젤,2199,11.4,전륜 FF,45,등록,기아,202,1
카니발 4세대,2000000,11,20,디젤,2151,13.1,전륜 FF,45,등록,기아,202,1
더 뉴 카니발,26900000,56,69000,디젤,2199,11.3,전륜 FF,45,등록,기아,202,1
더 뉴 카니발 2.2,26300000,38,78595,디젤,3342,11.3,전륜 FF,45,등록,기아,202,1
더 뉴 카니발 2.2,21500000,57,69247,디젤,2199,11.3,전륜 FF,45,등록,기아,202,1
카니발 4세대,38500000,14,25258,디젤,2151,13.1,전륜 FF,45,등록,기아,202,1
카니발 4세대,32600000,13,43572,디젤,2151,13.1,전륜 FF,45,등록,기아,202,1
더 뉴 카니발 2.2,20700000,58,70675,디젤,2199,11.3,전륜 FF,45,등록,기아,202,1
더 뉴 카니발 2.2,17900000,41,93000,디젤,2199,11.4,전륜 FF,45,등록,기아,202,1
그랜드 카니발,5300000,141,107387,디젤,2199,12,전륜 FF,44.47,등록,기아,197,0
올 뉴 카니발 2.2,13800000,77,96676,디젤,2199,11.5,전륜 FF,45,등록,기아,202,0
올 뉴 카니발 2.2,22990000,94,152002,디젤,2199,10.3,전륜 FF,45,등록,기아,202,0
그랜드 카니발,4400000,145,128962,디젤,2902,12.6,전륜 FF,36,등록,기아,170,0
그랜드 카니발,4700000,119,157045,디젤,2199,12,전륜 FF,44.47,등록,기아,197,0
카니발 4세대,3500000,11,450,디젤,2151,13.1,전륜 FF,45,등록,기아,202,1
올 뉴 카니발 2.2,18900000,81,95980,디젤,2199,11.2,전륜 FF,45,등록,기아,202,0
더 뉴 카니발 2.2,19600000,41,80342,디젤,2199,11.4,전륜 FF,45,등록,기아,202,1
올 뉴 카니발 2.2,11700000,86,185599,디젤,2199,11.5,전륜 FF,45,등록,기아,202,0
카니발 4세대,5900000,19,35000,가솔린,3470,8.4,전륜 FF,36.2,등록,기아,294,1
카니발 4세대,11130000,6,8000,디젤,2151,13.1,전륜 FF,45,등록,기아,202,1
카니발 4세대,3500000,12,10,디젤,2151,13.1,전륜 FF,45,등록,기아,202,1
더 뉴 카니발 2.2,33000000,43,138341,디젤,2199,10.3,전륜 FF,45,등록,기아,202,0
카니발 4세대,9900000,18,36084,디젤,2151,11,전륜 FF,45,등록,기아,202,1
카니발 4세대,19800000,1,5000,디젤,2151,11.5,전륜 FF,45,등록,기아,202,1
그랜드 카니발,3290000,129,136295,디젤,2199,12,전륜 FF,44.47,등록,기아,197,0
올 뉴 카니발 2.2,18990000,72,55208,디젤,2199,10.9,전륜 FF,45,등록,기아,202,1
더 뉴 카니발 2.2,28800000,56,47814,디젤,2199,11.3,전륜 FF,45,등록,기아,202,1
더 뉴 카니발 2.2,25800000,53,69506,가솔린,2199,11.3,전륜 FF,45,등록,기아,202,1
올 뉴 카니발 2.2,22100000,64,78438,디젤,2199,10.9,전륜 FF,45,등록,기아,202,0
더 뉴 카니발 2.2,22990000,58,83440,디젤,2199,11.3,전륜 FF,45,등록,기아,202,1
올 뉴 카니발 2.2,28990000,80,74371,디젤,2199,11.2,전륜 FF,45,등록,기아,202,0
올 뉴 카니발 2.2,29500000,69,90998,디젤,2199,10.3,전륜 FF,45,등록,기아,202,0
카니발 4세대,40500000,14,28294,디젤,2151,13.1,전륜 FF,45,등록,기아,202,1
그랜드 카니발,5800000,131,78266,디젤,2199,12.6,전륜 FF,36,등록,기아,170,0
그랜드 카니발,4400000,141,122861,디젤,2199,12,전륜 FF,36,등록,기아,192,0
올 뉴 카니발 3.3,31800000,63,133000,가솔린,3342,8.3,전륜 FF,34.7,등록,기아,280,0
올 뉴 카니발 2.2,11890000,95,155973,디젤,2199,11.5,전륜 FF,45,등록,기아,202,0
그랜드 카니발,2590000,122,199901,디젤,2199,12,전륜 FF,36,등록,기아,192,0
